ID,Form,IPA,Language_ID
0,Abisinia,abisinia,0
1,Aearana,aearana,0
2,Aferika,aferika,0
3,Afrika,afrika,0
4,Ahia,ahia,0
5,Ahia,ahia,0
6,AhiaMaina,ahiamaina,0
7,AhiaMinoa,ahiaminoa,0
8,Ahiria,ahiria,0
9,Aiarana,aiarana,0
10,Aiherana,aiherana,0
11,Airana,airana,0
12,Airanga,airaŋa,0
13,Airangi,airaŋi,0
14,Aka,aka,0
15,Akarana,akarana,0
16,Amara,amara,0
17,Amatarama,amatarama,0
18,Amenia,amenia,0
19,Amerika,amerika,0
20,Aminia,aminia,0
21,Amoi,amoi,0
22,Anatioka,anatioka,0
23,Anekerahi,anekerahi,0
24,Aparata,aparata,0
25,Aparika,aparika,0
26,ArakoaPei,arakoapei,0
27,Arapia,arapia,0
28,Ararata,ararata,0
29,Arareiri,arareiri,0
30,Arehanara,arehanara,0
31,Areka,areka,0
32,Arekahanaria,arekahanaria,0
33,Arekatera,arekatera,0
34,Arekateri,arekateri,0
35,Arena,arena,0
36,Arepia,arepia,0
37,Arikehanara,arikehanara,0
38,Aripa,aripa,0
39,Armenia,armenia,0
40,Atareia,atareia,0
41,Atareira,atareira,0
42,Atareiria,atareiria,0
43,Atareita,atareita,0
44,Atareria,atareria,0
45,Ataria,ataria,0
46,Atariria,atariria,0
47,Atena,atena,0
48,Atene,atene,0
49,Atereira,atereira,0
50,Atereria,atereria,0
51,Atini,atini,0
52,Atiraira,atiraira,0
53,Atiraire,atiraire,0
54,Atiraki,atiraki,0
55,Atireira,atireira,0
56,Atireiria,atireiria,0
57,Atireita,atireita,0
58,Atirera,atirera,0
59,Atiria,atiria,0
60,Aura,aura,0
61,Autereria,autereria,0
62,Autiria,autiria,0
63,AutunO,autuno,0
64,Awa,awa,0
65,Awerika,awerika,0
66,Awerika,awerika,0
67,Awharika,afarika,0
68,Awherika,aferika,0
69,Awhirika,afirika,0
70,Awiniona,awiniona,0
71,Awirika,awirika,0
72,Britania,britania,0
73,Britannia,britannia,0
74,Ehetaerona,ehetaerona,0
75,Ehipa,ehipa,0
76,Enera,enera,0
77,Enora,enora,0
78,Epairame,epairame,0
79,Epeha,epeha,0
80,Eperaima,eperaima,0
81,Epereama,epereama,0
82,Erekoma,erekoma,0
83,Erena,erena,0
84,ErenaPota,erenapota,0
85,Erepe,erepe,0
86,Erinipara,erinipara,0
87,Eruhi,eruhi,0
88,Etiopia,etiopia,0
89,Etipara,etipara,0
90,Ewana,ewana,0
91,HOTeni,hoteni,0
92,HaakuPei,haakupei,0
93,Haata,haata,0
94,Hahihi,hahihi,0
95,Haikoho,haikoho,0
96,Haina,haina,0
97,Hairona,hairona,0
98,Hakahia,hakahia,0
99,Hakipere,hakipere,0
100,Hakoni,hakoni,0
101,HakuPei,hakupei,0
102,Halona,halona,0
103,Hamani,hamani,0
104,Hamatara,hamatara,0
105,Hamene,hamene,0
106,Hamoa,hamoa,0
107,Hamurana,hamurana,0
108,Hamutana,hamutana,0
109,HanaKirira,hanakirira,0
110,HanaPanahiko,hanapanahiko,0
111,HanareteoHokianga,hanareteohokiaŋa,0
112,HanareteoKororareka,hanareteokororareka,0
113,HanareteoRotorua,hanareteorotorua,0
114,HanareteoTauranga,hanareteotauraŋa,0
115,HanareteoWaimate,hanareteowaimate,0
116,HanataPitapaka,hanatapitapaka,0
117,HanaTomingo,hanatomiŋo,0
118,Hangahai,haŋahai,0
119,Hangai,haŋai,0
120,HangaKanga,haŋakaŋa,0
121,Hangari,haŋari,0
122,Hainihama,hainihama,0
123,Hapana,hapana,0
124,Hapataporo,hapataporo,0
125,Hararihi,hararihi,0
126,Harehi,harehi,0
127,Harihi,harihi,0
128,Hata,hata,0
129,Hatapara,hatapara,0
130,Hatarina,hatarina,0
131,HataWhe,hatafe,0
132,Hatinia,hatinia,0
133,Hatipere,hatipere,0
134,Hawa,hawa,0
135,Hawai,hawai,0
136,Hawha,hafa,0
137,Hawheraka,haferaka,0
138,Heahi,heahi,0
139,Heamani,heamani,0
140,Heamita,heamita,0
141,Heamona,heamona,0
142,Heamona,heamona,0
143,Heheriri,heheriri,0
144,Heheriwa,heheriwa,0
145,Hehetinga,hehetiŋa,0
146,Hehita,hehita,0
147,Heirana,heirana,0
148,Heirona,heirona,0
149,Henowa,henowa,0
150,Hepere,hepere,0
151,Herehe,herehe,0
152,Heremani,heremani,0
153,Heremone,heremone,0
154,Herepe,herepe,0
155,Hereriri,hereriri,0
156,Herona,herona,0
157,Hewa,hewa,0
158,Heweini,heweini,0
159,Hiena,hiena,0
160,Hiharia,hiharia,0
161,Hihiria,hihiria,0
162,Himarika,himarika,0
163,Hinaara,hinaara,0
164,Hinekara,hinekara,0
165,Hingetana,hiŋetana,0
166,Hini,hini,0
167,Hinutani,hinutani,0
168,Hiparata,hiparata,0
169,HiplUia,hipluia,0
170,Hipatia,hipatia,0
171,Hipatipora,hipatipora,0
172,Hipone,hipone,0
173,Hiri,hiri,0
174,Hiria,hiria,0
175,Hirihira,hirihira,0
176,Hirini,hirini,0
177,Hiripi,hiripi,0
178,Hiritaone,hiritaone,0
179,Hironga,hiroŋa,0
180,Hiruharama,hiruharama,0
181,Hiruharama,hiruharama,0
182,Hispania,hispania,0
183,Hitia,hitia,0
184,Hokene,hokene,0
185,Hokipere,hokipere,0
186,Hokotia,hokotia,0
187,Honitana,honitana,0
188,Honoruru,honoruru,0
189,Hopataone,hopataone,0
190,Hopataune,hopataune,0
191,HopeTaone,hopetaone,0
192,Horana,horana,0
193,Horana,horana,0
194,Horia,horia,0
195,Horono,horono,0
196,HotereniTaone,hoterenitaone,0
197,Hororenehe,hororenehe,0
198,Humara,humara,0
199,Hungaria,huŋaria,0
200,Hunkari,hunkari,0
201,Hurariona,hurariona,0
202,Huria,huria,0
203,Huwaki,huwaki,0
204,laponoa,laponoa,0
205,Igarani,igarani,0
206,IhiKeepa,ihikeepa,0
207,Ihikepa,ihikepa,0
208,Ihipa,ihipa,0
209,Ihipiti,ihipiti,0
210,Ikamana,ikamana,0
211,Ikamanu,ikamanu,0
212,Ikaria,ikaria,0
213,Ingarangi,iŋaraŋi,0
214,Ingarani,iŋarani,0
215,Ingland,iŋland,0
216,Inia,inia,0
217,IniakiteHauauru,iniakitehauauru,0
218,Inia-ki-te-ra-to,iniakiterato,0
219,Iniana,iniana,0
220,Iniatana,iniatana,0
221,Iniria,iniria,0
222,Initia,initia,0
223,loka,loka,0
224,loropi,loropi,0
225,Iparaiho,iparaiho,0
226,Irawara,irawara,0
227,Irawari,irawari,0
228,Irekoma,irekoma,0
229,Irene,irene,0
230,Iruharama,iruharama,0
231,Itali,itali,0
232,Itari,itari,0
233,lurope,lurope,0
234,luropi,luropi,0
235,Kaiperu,kaiperu,0
236,Kairo,kairo,0
237,Kalia,kalia,0
238,Kamarana,kamarana,0
239,Kamera,kamera,0
240,Kamera,kamera,0
241,Kamerino,kamerino,0
242,Kanaana,kanaana,0
243,Kanapoa,kanapoa,0
244,Kanahi,kanahi,0
245,Kanata,kanata,0
246,Kanatepere,kanatepere,0
247,Kanatinopara,kanatinopara,0
248,Kanatinopera,kanatinopera,0
249,Kanawara,kanawara,0
250,KanereAirana,kanereairana,0
251,Kanihi,kanihi,0
252,Kapare,kapare,0
253,Kaparokia,kaparokia,0
254,KapePeretona,kapeperetona,0
255,Kapunga,kapuŋa,0
256,Karaera,karaera,0
257,Karaewa,karaewa,0
258,Karahiko,karahiko,0
259,Karaihitiati,karaihitiati,0
260,Karaimia,karaimia,0
261,Karairi,karairi,0
262,Karaiteati,karaiteati,0
263,Karaitiana,karaitiana,0
264,Karaitiata,karaitiata,0
265,Karaitiati,karaitiati,0
266,KaraitiHahi,karaitihahi,0
267,Karaitihata,karaitihata,0
268,Karaitihati,karaitihati,0
269,Karaiwa,karaiwa,0
270,Karaiwi,karaiwi,0
271,Karakata,karakata,0
272,Karako,karako,0
273,Karakuta,karakuta,0
274,Karamera,karamera,0
275,Karamere,karamere,0
276,Karanatai,karanatai,0
277,Karaponia,karaponia,0
278,KararuPe,kararupe,0
279,Karatia,karatia,0
280,Karatihati,karatihati,0
281,Kareo,kareo,0
282,Kareponia,kareponia,0
283,Karetoina,karetoina,0
284,Karia,karia,0
285,Karihi,karihi,0
286,Karihia,karihia,0
287,Kariki,kariki,0
288,Kariri,kariri,0
289,Kariti,kariti,0
290,Kartako,kartako,0
291,Kataihi,kataihi,0
292,Katake,katake,0
293,Katake,katake,0
294,Katana,katana,0
295,Katapere,katapere,0
296,Katapere,katapere,0
297,Kataperi,kataperi,0
298,Katarana,katarana,0
299,Katarangi,kataraŋi,0
300,Katerangi,kateraŋi,0
301,Katirangi,katiraŋi,0
302,Kautorona,kautorona,0
303,Kefero,kefero,0
304,KeipaKuruHope,keipakuruhope,0
305,Kemareti,kemareti,0
306,Kemureti,kemureti,0
307,Kenareta,kenareta,0
308,Keneri,keneri,0
309,KepaKuruHopa,kepakuruhopa,0
310,Kepataone,kepataone,0
311,KepeKuruHopa,kepekuruhopa,0
312,KepeKuruHope,kepekuruhope,0
313,KepeToma,kepetoma,0
314,KepeParamaha,kepeparamaha,0
315,Kera,kera,0
316,KereamaTaone,kereamataone,0
317,Kerehi,kerehi,0
318,KereiTaone,kereitaone,0
319,Kerekitata,kerekitata,0
320,Keremauta,keremauta,0
321,Kerokihira,kerokihira,0
322,Keta,keta,0
323,Kihipana,kihipana,0
324,Kihipene,kihipene,0
325,KingiWiremuTaone,kiŋiwiremutaone,0
326,Kini,kini,0
327,KiniPariu,kinipariu,0
328,Kirihi,kirihi,0
329,Kiripoa,kiripoa,0
330,Kiuama,kiuama,0
331,Koane,koane,0
332,Konipara,konipara,0
333,Konoko,konoko,0
334,Konotanahe,konotanahe,0
335,Konotatinopore,konotatinopore,0
336,Konstantainopela,konstantainopela,0
337,Konstantainopoli,konstantainopoli,0
338,Korohe,korohe,0
339,Korokota,korokota,0
340,Koronatata,koronatata,0
341,Koroniti,koroniti,0
342,Kotarana,kotarana,0
343,Kotenepara,kotenepara,0
344,Koterangi,koteraŋi,0
345,Koteringi,koteriŋi,0
346,Kotirana,kotirana,0
347,Kotirani,kotirani,0
348,Kotorana,kotorana,0
349,Kotorani,kotorani,0
350,Kuama,kuama,0
351,Kuiniwhenua,kuinifenua,0
352,Kupa,kupa,0
353,Kuperitino,kuperitino,0
354,Kuporo,kuporo,0
355,Kurubi,kurubi,0
356,Kuruhaka,kuruhaka,0
357,Libia,libia,0
358,Maata,maata,0
359,Maharata,maharata,0
360,Mahiria,mahiria,0
361,Mahitene,mahitene,0
362,Maira,maira,0
363,Makaha,makaha,0
364,Makawhiri,makafiri,0
365,Makeronia,makeronia,0
366,Mamora,mamora,0
367,Mana,mana,0
368,Manea,manea,0
369,Maniheha,maniheha,0
370,Manira,manira,0
371,Maniria,maniria,0
372,Marapana,marapana,0
373,Marata,marata,0
374,Marekana,marekana,0
375,Marekena,marekena,0
376,Mariao,mariao,0
377,Marikahika,marikahika,0
378,Marikena,marikena,0
379,Marita,marita,0
380,Maritia,maritia,0
381,Mata,mata,0
382,Matakahaka,matakahaka,0
383,Matakahika,matakahika,0
384,Mataraha,mataraha,0
385,Matarahi,matarahi,0
386,Matarita,matarita,0
387,Matariti,matariti,0
388,MateneTaone,matenetaone,0
389,Matiara,matiara,0
390,Mauritiu,mauritiu,0
391,Mehiko,mehiko,0
392,Mehina,mehina,0
393,Mehopotamia,mehopotamia,0
394,Meka,meka,0
395,Mekehiko,mekehiko,0
396,Mekiro,mekiro,0
397,Meranihia,meranihia,0
398,Mereka,mereka,0
399,Merepana,merepana,0
400,Merepena,merepena,0
401,Merepona,merepona,0
402,Mereponi,mereponi,0
403,Meretereniana,meretereniana,0
404,Merika,merika,0
405,Merika,merika,0
406,Merikana,merikana,0
407,MerikaateIngarihi,merikaateiŋarihi,0
408,Merikena,merikena,0
409,Meripone,meripone,0
410,Meriponi,meriponi,0
411,Meritareniana,meritareniana,0
412,Meritireniana,meritireniana,0
413,Meromo,meromo,0
414,Merutu,merutu,0
415,Metetereniuma,metetereniuma,0
416,Metirana,metirana,0
417,Metitereniana,metitereniana,0
418,Mihea,mihea,0
419,Mihireiama,mihireiama,0
420,Mihitere,mihitere,0
421,Milano,milano,0
422,Miratiriwhite,miratirifite,0
423,Mirinitoropa,mirinitoropa,0
424,Miroma,miroma,0
425,MoatanaPe,moatanape,0
426,Morako,morako,0
427,Moramine,moramine,0
428,Morewia,morewia,0
429,MotuNawhaka,motunafaka,0
430,MotuPitikeana,motupitikeana,0
431,Naero,naero,0
432,Nahareta,nahareta,0
433,Naihi,naihi,0
434,Naika,naika,0
435,Naina,naina,0
436,Naira,naira,0
437,Nairi,nairi,0
438,Napatirai,napatirai,0
439,Napieri,napieri,0
440,Napiterai,napiterai,0
441,Napitirai,napitirai,0
442,NawhakaAirani,nafakaairani,0
443,Nawhakairangi,nafakairaŋi,0
444,Nawhaki,nafaki,0
445,Neapori,neapori,0
446,Nepara,nepara,0
447,Nepaura,nepaura,0
448,Nepia,nepia,0
449,Nepiere,nepiere,0
450,Nihe,nihe,0
451,Nihee,nihee,0
452,Nihia,nihia,0
453,Nihipe,nihipe,0
454,Nikomedia,nikomedia,0
455,Nikomiria,nikomiria,0
456,Ninewa,ninewa,0
457,Ningipo,niŋipo,0
458,Niniwa,niniwa,0
459,NiuHeperiti,niuheperiti,0
460,NiuHorana,niuhorana,0
461,Niukahera,niukahera,0
462,Niukahere,niukahere,0
463,Niukahio,niukahio,0
464,NiuKaretonia,niukaretonia,0
465,NiuKuinea,niukuinea,0
466,NiuParemata,niuparemata,0
467,NiuPerepora,niuperepora,0
468,NiuTirani,niutirani,0
469,NiuTirene,niutirene,0
470,Niu-Tirene,niutirene,0
471,NiuTireni,niutireni,0
472,NiwZiland,niwziland,0
473,Niwa,niwa,0
474,Nomanapi,nomanapi,0
475,Noamani,noamani,0
476,Nomani,nomani,0
477,Nopokairani,nopokairani,0
478,Nopoki,nopoki,0
479,NotaAmerika,notaamerika,0
480,Notaweta-Marikena,notawetamarikena,0
481,Notona,notona,0
482,NowaKotia,nowakotia,0
483,Nowei,nowei,0
484,NowhaKotia,nofakotia,0
485,Nuheperati,nuheperati,0
486,Nuikahio,nuikahio,0
487,NuiParemata,nuiparemata,0
488,NuiPereha,nuipereha,0
489,NuiPerepori,nuiperepori,0
490,NuiTereni,nuitereni,0
491,NuiTirani,nuitirani,0
492,NuiTireni,nuitireni,0
493,Nuitirene,nuitirene,0
494,Nuitireni,nuitireni,0
495,NuiTirini,nuitirini,0
496,Nukahera,nukahera,0
497,Nukatera,nukatera,0
498,NuParemata,nuparemata,0
499,NuTirani,nutirani,0
500,NuTirene,nutirene,0
501,NuTireni,nutireni,0
502,Nutirani,nutirani,0
503,Nutirene,nutirene,0
504,Nutireni,nutireni,0
505,Oheania,oheania,0
506,Oheanika,oheanika,0
507,Ohepene,ohepene,0
508,Okihari,okihari,0
509,Okiwhara,okifara,0
510,opetaone,opetaone,0
511,Oripi,oripi,0
512,Oriwa,oriwa,0
513,Orope,orope,0
514,Oropi,oropi,0
515,Otakou,otakou,0
516,Oteheiti,oteheiti,0
517,Otiaiti,otiaiti,0
518,Pahana,pahana,0
519,Pahi,pahi,0
520,Pahia,pahia,0
521,Pairo,pairo,0
522,Pakingama,pakiŋama,0
523,Pakirara,pakirara,0
524,Pakura,pakura,0
525,Pamahuna,pamahuna,0
526,Pamapuria,pamapuria,0
527,Pamingama,pamiŋama,0
528,Paniera,paniera,0
529,Paniora,paniora,0
530,Paonea,paonea,0
531,PapatiPei,papatipei,0
532,Papeiti,papeiti,0
533,Papiete,papiete,0
534,Papurona,papurona,0
535,Papurona,papurona,0
536,Papuronia,papuronia,0
537,Parahira,parahira,0
538,Parakarawa,parakarawa,0
539,Parake,parake,0
540,Parakipota-ki-te-Maine,parakipotakitemaine,0
541,Paramata,paramata,0
542,Paranahi,paranahi,0
543,Paranarama,paranarama,0
544,Parane,parane,0
545,Parani,parani,0
546,Paranihi,paranihi,0
547,Paratika,paratika,0
548,Pare,pare,0
549,Paretaina,paretaina,0
550,Paretina,paretina,0
551,Paretini,paretini,0
552,Pari,pari,0
553,Parihi,parihi,0
554,Parini,parini,0
555,Paritaina,paritaina,0
556,Paritiana,paritiana,0
557,Parupehaia,parupehaia,0
558,Patamo,patamo,0
559,Patewhia,patefia,0
560,Patewia,patewia,0
561,Patimo,patimo,0
562,Patino,patino,0
563,Patua,patua,0
564,Patukara,patukara,0
565,Pauene,pauene,0
566,Peaneo,peaneo,0
567,Pearini,pearini,0
568,Peina,peina,0
569,PeioPereti,peiopereti,0
570,PeioPureti,peiopureti,0
571,Pemeroki,pemeroki,0
572,Penare,penare,0
573,Pene,pene,0
574,Penekaara,penekaara,0
575,Penekara,penekara,0
576,Pengakara,peŋakara,0
577,Peowairangi,peowairaŋi,0
578,PeoWhairangi,peofairaŋi,0
