Form_orth,Form_ipa,Form_meaning,Donor_orth,Donor_ipa
Parī,pariː,Paris (the capital of France),,
Parīhi,pariːhi,Brazil (a country in South America),,
pata,pata,"granule, drip",,
pea,pea,bear,bear,beə
Pearīni,peariːni,Berlin (the capital of Germany),,
Pehiamu,pehiamu,Belgium (a country in Europe),,
peka,peka,bat (the flying mammal),,
pekapeka,pekapeka,bat (animal),,
penapena,penapena,to save up (accumulate money for a specific purpose),,
peopeo,peopeo,slippery,,
pepa,pepa,paper,paper,peɪpə
pera,pera,pillow,,
Petera,petera,"A male given name, equivalent to English Peter.",,
Peti,peti,"A female given name, equivalent to English Betty, Betsy, and Bessie.",,
pewa,pewa,eyebrow,,
pihapiha,pihapiha,"a blowhole (of a cetacean), a gill (of an aquatic animal)",,
piki,piki,fig tree,,
pine,pine,"pin, tack, brooch",pin,pɪn
piopio,piopio,"piopio (Turnagra spp.)
Synonyms: korohea, koropio, tiutiu, tiutiukata",,
pirau,pirau,rotten,,
Piri,piri,"A male given name, equivalent to English Bill.",,
pirihimana,pirihimana,"police, police officer, constable",policeman,pəliːsmən
Pirihira,pirihira,"A female given name, equivalent to English Priscilla.",,
pirikoko,pirikoko,mystery,,
Piripane,piripane,"(location) Brisbane (a large city, the capital city of Queensland, Australia).",,
Piripi,piripi,"A male given name, equivalent to English Philip.",,
Pita,pita,"A male given name, equivalent to English Peter.",,
pito,pito,navel,,
poaka,poaka,"pig, pork",,
Poihākena,poihaːkena,"Sydney (the capital of New South Wales, Australia)",,
Poipiripi,poipiripi,"(location) Melbourne, the capital of Victoria.",,
poke,poke,grimy,,
pokokohua,pokokohua,"(offensive, vulgar) upokokohua",,
ponga,poŋa,"silver fern (Alsophila dealbata)
Synonym: kaponga",,
pono,pono,"truth, non-fiction, validity, Kua kitea e mātou te pono",,
poporokaiwhiri,poporokaifiri,"pigeonwood (Hedycarya arborea)
Synonyms: kaiwhiri, porokaiwhiri, porokaiwhiria, poroporokaiwhiria",,
Poriwia,poriwia,Bolivia (a country in South America),,
Poronai,poronai,Brunei (a country in Asia),,
pota,pota,sample,,
Potukara,potukara,Portugal (a country in Europe),,
pou,pou,pillar,,
pounamu,pounamu,greenstone,,
puha,puha,gill (of fish),,
pukapuka,pukapuka,book,,
puke,puke,(geography) hill,,
puku,puku,"(anatomy) stomach, belly",,
pune,pune,spoon,,
Purukāria,purukaːria,Bulgaria (a country in Europe),,
puta,puta,"hole, anus",,
putoko,putoko,slug,,
pā,paː,"to touch, strike, hit (as by a stone), tag, affect",,
pākaha,paːkaha,"strict, severe",,
Pākaratēhi,paːkarateːhi,Bangladesh (a country in Asia),,
pākaukau,paːkaukau,wing,,
pākehā,paːkehaː,"New Zealander of European descent, foreigner, alien",,
pākete,paːkete,pocket,pocket,pɒkɪt
pāngarau,paːŋarau,mathematics,,
Pāniora,paːniora,Spain,,
Pāora,paːora,"A male given name, equivalent to English Paul.",,
pāpā,paːpaː,"father, dad",,
pāreti,paːreti,porridge,porridge,pɒɹɪd͡ʒ
pātai,paːtai,"a question
2013, New Zealand Government, Information for enrolling (pamphlet)
Me i 'āe' mai koe ki te pātai te Wāhanga A, e pātai ana mehemea he Māori koe nō Aotearoa, he uri rānei nō tētahi Māori nō Aotearoa [...]
If you answered 'yes' to the question in Section A asking whether you are a New Zealand Maori or a descendant of New Zealand Maori [...]",,
pātata,paːtata,neighbouring,,
pāua,paːua,"Any of the three species of large edible sea snails, marine gastropod molluscs of the family Haliotidae (sole genus Haliotis), known in the United States and Australia as abalone, and in the United Kingdom as ormer shells.",,
pēke,peːke,bank,,
Pēpuere,peːpuere,February (month),February,fɛbɹuːəɹi
Pērara,peːrara,Belarus (a country in Europe),,
pī,piː,sodden,,
pīata,piːata,"to be shiny, bright, polished, glossy",,
pīne-ā-Wīwī,piːne-aː-wiːwiː,French bean,,
pīokeoke,piːokeoke,"spiny dogfish (Squalus acanthias)
Synonyms: mangō hapū, mangō pekepeke, mangō tara, okeoke, pioke",,
pītau,piːtau,"frond, shoot",,
pīwakawaka,piːwakawaka,"New Zealand fantail (Rhipidura fuliginosa)
Synonyms: hīrairaka, hīwaiwaka, kōtiutiu, pīrairaka, pīrakaraka, pīrangirangi, pītakataka, pīwaiwaka, tīrairaka, tīrairaka pango, tīrakaraka, tīraureka, tītakataka, tītīrairaka, tīwaiwaka, tīwakawaka, wakawaka",,
pō,poː,night,,
pōkiha,poːkiha,fox (animal in genus Vulpes),fox,fɒks
Pōngia-Herekōmina,poːŋia-herekoːmina,Bosnia and Herzegovina (a country in Europe),,
Pōrana,poːrana,Poland,,
pōti,poːti,"vote, elect",vote,vəʊt
pōtitanga,poːtitaŋa,election,,
pū,puː,"origin, source, base, foundation",,
pūkeko,puːkeko,"pūkeko, purple swamphen",,
pūmanamārō,puːmanamaːroː,(computing) firmware,,
pūmanawa,puːmanawa,"natural talent, (computing) software",,
pūmārō,puːmaːroː,(computing) hardware,,
pūnaha,puːnaha,system,,
pūpū,puːpuː,snail,,
pūrere,puːrere,"appliance, device",,
pūtaiao,puːtaiao,science,,
pūtāhono,puːtaːhono,driver (program acting as interface between an application,,
rae,rae,(anatomy) forehead (part of face above eyebrows),,
rai,rai,rye,,
raino,raino,rhino,,
raiona,raiona,lion (big cat),lion,laɪən
raka,raka,lock,,
Rakiura,rakiura,Stewart Island,,
rama,rama,"torch, light",,
rama,rama,rum,rum,ɹʌm
-ranga,-raŋa,"-ness, -ity (derived noun suffix)",,
rangatira,raŋatira,"chief, chieftain, chieftainess, though of lesser rank than an ariki (paramount chief)",,
rangi,raŋi,"sky, heaven, day",,
rangitoto,raŋitoto,lava,,
rango,raŋo,"fly (insect), blowfly",,
raro,raro,"the underworld, Ka tae tō wairua ki raro. ― Your spirit",,
rata,rata,"tame, quiet",,
rau,rau,leaf,,
raurau,raurau,foliage,,
rautupu,rautupu,thunderstorm,,
rehurehu,rehurehu,obscure,,
Reipa,reipa,Labour (Labour Party),Labour,leɪbə
reka,reka,nice,,
reo,reo,"voice, speech, utterance, language",,
repo,repo,swamp,,
Rerehu,rerehu,"Antares, the brightest star in the constellation Scorpius",,
rewa,rewa,"to get under way, to depart, to set off",,
Rewi,rewi,"A male given name, equivalent to English Louis, Dave, and Levi.",,
riha,riha,nit,,
Rihari,rihari,"A male given name, equivalent to English Richard.",,
riki,riki,"small, little",,
rima,rima,five,,
rimu,rimu,"moss (plants of the division Bryophyta), a large tree",,
ringa,riŋa,hand,,
Riria,riria,"A female given name., Lydia (biblical)",riria,ɹɪɹiə
Riripeti,riripeti,A female given name.,Elizabeth,ɪlɪzəbəθ
rironga,riroŋa,"asset, receipt, acquisition",,
rite,rite,"to resemble; to be like, similar, alike",,
Rituānia,rituaːnia,Lithuania,,
roa,roa,"long, tall, slow",,
roanga,roaŋa,continuation,,
Romeinia,romeinia,Romania,Romania,ɹəʊmeɪniə
rona,rona,a binder (for holding papers together),,
rongo,roŋo,"fame, news",,
rore,rore,rainbow,,
rorohiko,rorohiko,computer,,
roto,roto,"interior, lake",,
rua,rua,two,,
ruaki,ruaki,to vomit,,
Ruiha,ruiha,"A female given name, equivalent to English Louisa.",,
Ruihi,ruihi,"A female given name, equivalent to English Lucy.",,
ruku,ruku,to dive,,
rupe,rupe,New Zealand pigeon,,
ruru,ruru,a morepork (type of owl (Ninox novaeseelandiae novaeseelandiae)),,
Ruta,ruta,"A female given name, equivalent to English Ruth.",,
Rutu,rutu,Ruth (biblical).,,
rā,raː,"(nautical) sail (a piece of fabric attached to a boat),",,
Rāhera,raːhera,"A female given name, equivalent to English Rachel.",,
rāhui,raːhui,restriction of access to a place (as a form of taboo),,
rāhuitanga,raːhuitaŋa,lockdown (confinement of people as a security measure),,
rākau,raːkau,"A weapon; a club or bat., A tree, stick, spar, or mast.,",,
Rāniera,raːniera,"A male given name, equivalent to English Daniel.",,
Rāpata,raːpata,"A male given name, equivalent to English Robert.",,
rāpeti,raːpeti,rabbit,rabbit,ɹabɪt
rārangi,raːraŋi,"list; queue, line",,
Rātapu,raːtapu,Sunday,,
rātou,raːtou,"they, them (plural; three or more people)",,
rāua,raːua,"they two, them two (dual; two people)",,
Rāwhia,raːfia,Latvia,,
Rāwiri,raːwiri,"A male given name, equivalent to English David.",,
Rēnata,reːnata,A male given name.,Leonard,lɛnəd
rēpara,reːpara,"leopard (Panthera pardus), Synonym: rēparo",leopard,lɛpəd
rēparo,reːparo,"leopard (Panthera pardus), Synonym: rēpara",leopard,lɛpəd
Rīpeka,riːpeka,"A female given name, equivalent to English Rebecca.",,
rō,roː,"mantis, praying mantis; stick insect",,
Rōpata,roːpata,"A male given name, equivalent to English Robert.",,
rōpū,roːpuː,"An organized group of people; party, organisation, committee, etc.",,
rōtō,roːtoː,lotto,,
Rūhia,ruːhia,Russia (a country in Europe and Asia),,
rūma,ruːma,room (of a building),,
taera,taera,"sexual desire
Mā te taera ko te whānau tamariki hai kawe i te momo tangata. ― Sexual desire determines the procreation of the human species.",,
taeratanga,taerataŋa,"sexual orientation, sexuality",,
tahi,tahi,"one, single",,
tahua,tahua,fund,,
tai,tai,sea,,
taiaha,taiaha,taiaha,,
taihoa,taihoa,"wait, don't (do something) yet",,
taika,taika,tiger (Panthera tigris),tiger,taɪɡə
taikaha,taikaha,"strict, severe",,
takahē,takaheː,"takahe, takahē",,
takai,takai,"To wrap up, wrap round.",,
takakaha,takakaha,"tibia, shinbone",,
takatakahi,takatakahi,to trample,,
takatāpui,takataːpui,close friend of the same gender,,
takiwātanga,takiwaːtaŋa,"autism, 2019 August 6,  “The Autism Clinic—Te Rāngai",,
takoha,takoha,pledge,,
taku,taku,my,,
tamahine,tamahine,girl,,
tamaiti,tamaiti,child,,
Tame,tame,"A male given name, equivalent to English Tom.",,
-tanga,-taŋa,"-ness, -ity (derived noun suffix)",,
tangata,taŋata,"human being, person, man, 1858,  Francis Dart Fenton,",,
tangi,taŋi,"weeping, mourning, lament, sound, intonation, (music)",,
tangihanga,taŋihaŋa,funeral,,
taniwha,tanifa,taniwha,,
tao,tao,spear,,
taonga,taoŋa,property,,
tapa,tapa,"rim, edge, boundary, split, labia",,
tapaono,tapaono,hexagon,,
tapu,tapu,"holy, sacred, consecrated, restricted, prohibited,",,
tarakihi,tarakihi,"A grey and black saltwater fish, Nemadactylus macropterus, found off the coast of Australia, New Zealand and South America.",,
tari,tari,plaiting of several strands,,
taro,taro,"taro, bread",,
taru,taru,"weed, grass; small vegetation",,
tatauranga,tatauraŋa,statistics (mathematical science),,
tau,tau,year (time it takes for the Earth to complete one revolution,,
tauoranga,tauoraŋa,existence,,
Tauranga,tauraŋa,Tauranga (a city in New Zealand),,
tauwhere,taufere,to bind,,
te,te,"the
2006, Joanne Barker, Sovereignty Matters, page 208:
Ko te reo te mauri o te mana Maori.
The language is the life principle of Maori mana",,
tea,tea,white,,
teina,teina,younger brother of a male,,
tekau,tekau,ten,,
temepara,temepara,temple,,
Tenemāka,tenemaːka,Denmark (a country in Europe),,
tenga,teŋa,goitre,,
terepōno,terepoːno,"(obsolete) telephone, Synonyms: kawereo, waea",telephone,tɛlɪfəʊn
terewhōno,terefoːno,"(obsolete) telephone, Synonyms: kawereo, waea",telephone,tɛlɪfəʊn
tia,tia,"abdomen, stomach, umbilical cord",,
tia,tia,deer,deer,diə
tia,tia,steering,steer,stiə
tiaki,tiaki,guard or keep,,
tiaki,tiaki,jack (playing card),jack,d͡ʒak
Tiamana,tiamana,Germany (a country in Europe),,
tiara,tiara,vagabond,,
tikanga,tikaŋa,"custom, convention, correct manner of doing things,",,
tiki,tiki,Figurine.,,
tikinare,tikinare,"dictionary, Synonym: papakupu",dictionary,dɪkʃənəɹi
Timi,timi,"A male given name, equivalent to English Jim and James.",,
tina,tina,"be firm, hard, steadfast , 1852,  William Williams,",,
tina,tina,"lunch, dinner (midday meal)",dinner,dɪnə
tino,tino,"most, more (intensifier)",,
tio,tio,oyster,,
Tiorangi,tioraŋi,Iceland (a country in Europe),,
tipuna,tipuna,Alternative form of tupuna,,
tiriti,tiriti,street,street,stɹiːt
tiriti,tiriti,treaty,treaty,tɹiːti
tiro,tiro,"to observe, to inspect",,
tiā,tiaː,jar (cylindrical container),jar,d͡ʒɑː
toa,toa,brave,,
tohumate,tohumate,symptom,,
tohuto,tohuto,macron,,
toke,toke,worm,,
tokerau,tokerau,north,,
toki,toki,axe,,
tomo,tomo,to enter,,
tonga,toŋa,south,,
toru,toru,three,,
toto,toto,blood,,
tua-,tua-,prefixed to numerals 1 through 9 to produce an ordinal,,
tuahine,tuahine,sister (of a man),,
tuakana,tuakana,older brother of a male,,
tuanui,tuanui,roof,,
tuatara,tuatara,tuatara,,
tuhi,tuhi,"to draw, to write, to point at",,
tuhinga,tuhiŋa,writing,,
tuitui,tuitui,to sew,,
tuna,tuna,"eel of various species, including the longfin eel (Anguilla",,
Tuna,tuna,"(Maori mythology) An eel-god, the son of Manga-wai-roa,",,
tunu,tunu,to broil,,
tupu,tupu,to grow,,
tupuna,tupuna,"A grandparent, or any ancestor more remote than one's",,
ture,ture,law,,
turi,turi,deaf (not hearing),,
tutū,tutuː,"disobedience, offending; hooligan",,
tā,taː,"to dump, strike, beat, thump, throw down, tackle, to",,
tāhono,taːhono,"(computing) interface, Synonym: atanga",,
Tāhuna,taːhuna,Queenstown (a city in New Zealand),,
Tāite,taːite,Thursday,Thursday,θɜːzdeɪ
Tāke,taːke,Turkey,Turkey,tɜːki
tāku,taːku,my,,
Tāmati,taːmati,"A male given name, equivalent to English Thomas.",,
tāne,taːne,man (adult male human),,
tāone,taːone,"town, city, urban area",town,taʊn
tāpu,taːpu,"a tub, a vat",tub,tʌb
tāra,taːra,"dollar, especially a New Zealand dollar",dollar,dɒlə
Tāre,taːre,"A male given name, equivalent to English Charles.",,
tārere,taːrere,"swing, hanging seat",,
tāriana,taːriana,stallion,stallion,staliən
tātahi,taːtahi,beach,,
tātou,taːtou,"First person plural inclusive
we (we including you)",,
tāua,taːua,"First person dual inclusive
we (you and I only)",,
tēnei,teːnei,this (referring to something near to the speaker),,
tēneti,teːneti,tent,tent,tɛnt
tēnā,teːnaː,that (referring to something near the listener),,
Tēpene,teːpene,Stephen (biblical),,
tērā,teːraː,"that, yonder (referring to something distant from both speaker and listener)",,
tētē,teːteː,"frond, shoot",,
tī,tiː,tea (drink),tea,tiː
tīeke,tiːeke,saddleback (Philesturnus spp.),,
Tīekia,tiːekia,"Czechia (a country in Europe)
Synonym: Tūwehe Tīeke",,
Tīhema,tiːhema,December (month),December,dɪsɛmbə
Tīmoti,tiːmoti,"A male given name, equivalent to English Timothy.",,
Tīpene,tiːpene,"A male given name, equivalent to English Stephen.",,
tīra,tiːra,steel,steel,stiːl
tōhi,toːhi,"toast (bread), toast (salutation)",toast,təʊst
tōku,toːku,my,,
tōmato,toːmato,tomato,,
tōpū,toːpuː,to be assembled in group,,
tōrangapū,toːraŋapuː,politics,,
tōāpapa,toːaːpapa,gravity,,
tūhura,tuːhura,"investigate, disclose, discover",,
tūhāhā,tuːhaːhaː,"unique, isolated",,
tūmanako,tuːmanako,"to expect, to hope",,
tūnga,tuːŋa,wound,,
tūpara,tuːpara,double-barrelled shotgun,,
Tūranga-nui-a-Kiwa,tuːraŋa-nui-a-kiwa,Gisborne (a city in New Zealand),,
tūrangawaewae,tuːraŋawaewae,Spiritual connection with the land.,,
Tūrei,tuːrei,Tuesday,Tuesday,tjuːzdeɪ
tūtae,tuːtae,"excrement, dung, feces",,
tūwhaitara,tuːfaitara,giraffe weevil,,
tūī,tuːiː,tui (Prosthemadera novaeseelandiae) a New Zealand bird,,
-u,-u,Used in contractions with particles of possession to,,
ua,ua,rain (condensed water from a cloud),,
uhi,uhi,"yam (Dioscorea), a chisel-like tool used to puncture",,
umu,umu,oven,,
unahiroa,unahiroa,comet,,
upokokohua,upokokohua,"(literally) A boiled head., (offensive, vulgar) A strong",,
ura,ura,"krill (small marine crustacean), whalefeed, Munida",,
uraura,uraura,"krill (small marine crustacean), whalefeed, Munida",,
uru,uru,"to enter, go in, to possess, to enlist, enrol, join,",,
urupā,urupaː,a burial ground or cemetery,,
urupū,urupuː,diligent,,
uruwhenua,urufenua,"a passport (official document)
uruwhenua Aotearoa - New Zealand passport",,
uta,uta,"interior (the inside regions of a country or island),",,
utu,utu,pay,,
uwhi,ufi,yam; Dioscorea alata,,
Waata,waata,"A male given name, equivalent to English Walter. Obsolete spelling of Wāta.",,
waea,waea,to be weary,,
waea,waea,"to telephone, ring, to send a telegram, wire",wire,waɪə
wahine,wahine,woman,,
wai,wai,"water (clear liquid H₂O), liquid",,
waiata,waiata,song,,
Waiharakeke,waiharakeke,Blenheim (a city in New Zealand),,
Waihōpai,waihoːpai,Invercargill (a city in New Zealand),,
waikato,waikato,flowing water,,
waipiro,waipiro,"alcohol, liquor",,
Waitangi,waitaŋi,A locality in the Bay of Islands on the North Island,,
waiū,waiuː,milk,,
waka,waka,"boat, canoe, vehicle, conveyance, transport",,
warapī,warapiː,wallaby,wallaby,wɒləbi
ware,ware,ignorant,,
waro,waro,coal,,
waru,waru,eight,,
wawā,wawaː,Alternative form of wāwā,,
wehe,wehe,to separate,,
wehi,wehi,"dread, fear",,
Wenerei,wenerei,Wednesday,Wednesday,wɛnzdeɪ
whaea,faea,mother,,
whai,fai,"stingray, skate (fish of family Rajidae)",,
whaka-,faka-,"Causative prefix., towards",,
whakahohe,fakahohe,to activate (to make something active),,
whakamaheni,fakamaheni,"to polish, to burnish",,
whakamauī,fakamauiː,towards the left,,
whakamā,fakamaː,"be ashamed, shy, bashful, embarrassed",,
whakanau,fakanau,"to decline, refuse",,
whakapakotanga,fakapakotaŋa,banishment,,
whakapapa,fakapapa,"To lie flat or to lay flat., To lay low or to strike",,
whakaraka,fakaraka,"to walk, Whakaakona te tamaiti kia whakaraka., Teach",,
whakaririka,fakaririka,impassive,,
whakarongo,fakaroŋo,"to hear, to listen, to obey",,
whakataurekareka,fakataurekareka,To treat with contempt.,,
whakatewhatewha,fakatefatefa,to investigate,,
whakatōpū,fakatoːpuː,"amalgamation, consolidation",,
Whakatū,fakatuː,Nelson (a city in New Zealand),,
whakawahine,fakawahine,a biologically male person who lives and behaves as,,
whakawhanaungatanga,fakafanauŋataŋa,The process of establishing relationships.,,
whana,fana,"to revolt, rebel, mutiny, rise up, riot, to spring",,
whanaunga,fanauŋa,familial relative,,
whanaungatanga,fanauŋataŋa,close relationship,,
whanga,faŋa,"bay, gulf",,
Whangārei,faŋaːrei,Whangarei (a city in New Zealand),,
whao,fao,chisel (iron tool),,
whara,fara,Any of the several plants in the families Asteliaceae,,
wharau,farau,to travel (particularly by sea),,
wharaunga,farauŋa,voyage,,
whare,fare,"house, building",,
wharenui,farenui,wharenui,,
whata,fata,shelf,,
whatu,fatu,"stone, hailstone, (anatomy) eye; pupil, Synonyms: kanohi,",,
whau,fau,"corkwood, Entelea arborescens, five-finger, Pseudopanax",,
whawhai,fafai,fight,,
wheke,feke,"octopus, squid",,
wheketere,feketere,arrow squid,,
whenu,fenu,"strand (each of the strings that make up a rope, etc.)",,
whenua,fenua,"land, country, ground, placenta, afterbirth",,
whero,fero,red,,
whetū,fetuː,star (luminous celestial body),,
Whinarana,finarana,Alternative form of Whinirana,,
Whinirana,finirana,Finland (a country in Europe),Finland,fɪnlənd
whiri,firi,"to twist, to weave, Ko ngā turu o aua taonga he mea",,
whiriwhiri,firifiri,to negotiate,,
whitu,fitu,seven,,
whā,faː,four,,
whāmere,faːmere,"family, household, Synonym: whānau",family,famɪli
whānau,faːnau,"To give birth., To be born.",,
whē,feː,"mantis, praying mantis; stick insect",,
wiki,wiki,to form circular ripples on the surface of a fluid,,
wiki,wiki,week,week,wiːk
wiki,wiki,wick; fuse,wick,wɪk
Wiki,wiki,"A female given name, short for Wikitoria",,
Wikitōria,wikitoːria,"A female given name, equivalent to English Victoria.",,
Wiremu,wiremu,"A male given name, equivalent to English William.",,
wiri,wiri,"to bore, twist, drill",,
wuruhi,wuruhi,"wolf (Canis lupus), Synonym: wuruwhi",wolf,wʊlf
wuruwhi,wurufi,"wolf (Canis lupus), Synonym: wuruhi",wolf,wʊlf
wā,waː,time,,
wāhanga,waːhaŋa,piece,,
wāhi,waːhi,to break,,
wānanga,waːnaŋa,"traditional knowledge, lore",,
Wāta,waːta,"A male given name, equivalent to English Walter.",,
wāwā,waːwaː,to be scattered,,
wētā,weːtaː,weta,,
Wī,wiː,A diminutive of the male given name Wiremu.,,
Wīwī,wiːwiː,"France (a country in Europe), TW 22/6/1878:310/2, as",,
wīwī,wiːwiː,"sea rush, clubrush",,
ā,aː,collarbone,,
āe,aːe,"yes, 2013, New Zealand Government, Information for",,
āhuruhuru,aːhuruhuru,goatfish,,
ākau,aːkau,"reef, coast, river bank",,
Āketina,aːketina,Argentina (a country in South America),,
Ākuhata,aːkuhata,August (month),August,ɔːɡəst
Āmenia,aːmenia,Armenia (a country in Europe and Asia),,
Ānaru,aːnaru,"A male given name, equivalent to English Andrew.",,
āngi,aːŋi,air,,
āniwaniwa,aːniwaniwa,rainbow,,
Āperire,aːperire,April (month),April,eɪpɹəl
āpiha,aːpiha,"officer, official",officer,ɒfɪsə
āporo,aːporo,apple,apple,apəl
ārahi,aːrahi,to lead,,
Ārama,aːrama,"A male given name, equivalent to English Adam.",,
āta,aːta,altar (Christian),,
ātaahua,aːtaahua,"to be beautiful, pretty, good-looking, gorgeous, lovely",,
Āwhekenetāna,aːfekenetaːna,Afghanistan (a country in Asia),,
āwhā,aːfaː,"gale, storm, heavy rain, Nā te nui o te āwhā me te",,
ē,eː,a lengthened form of the letter e,,
ī,iː,"to ferment, to sour, to spoil",,
Īemene,iːemene,Yemen (a country in Asia),,
Īhaka,iːhaka,"A male given name, equivalent to English Isaac.",,
Īhāia,iːhaːia,"A male given name, equivalent to English Isaiah.",,
īkara,iːkara,"eagle (bird of prey), Synonym: ēkara",eagle,iːɡəl
īnaka,iːnaka,Alternative form of inanga (grass tree),,
īnanga,iːnaŋa,Alternative form of inanga,,
Īnia,iːnia,India (a country in Asia),,
ō,oː,"food, provisions",,
ōi,oːi,muck,,
ōritetanga,oːritetaŋa,equality (equal treatment of people),,
Ōtautahi,oːtautahi,Christchurch (a city in New Zealand),,
Ōtepoti,oːtepoti,Dunedin (a city in New Zealand),,
ū,uː,"breast, udder, teat",,
Ūkareinga,uːkareiŋa,Ukraine,,
